City,Precipitation,Happiness Score
"Fremont, CA",105.58,75.32
"Plano, TX",82,73.23
"San Jose, CA",31.17,73.2
"Irvine, CA",27.75,72.81
"Madison, WI",67,72.19
"Sioux Falls, SD",52.17,70.26
"Huntington Beach, CA",24,69.9
"Scottsdale, AZ",19.67,69.49
"Santa Rosa, CA",107.58,69.33
"Pearl City, HI",71.92,69.13
"Bismarck, ND",34.92,68.86
"Fargo, ND",44.17,68.41
"Lincoln, NE",62.33,68.33
"San Francisco, CA",80.67,68.3
"Overland Park, KS",80.92,68.23
"Santa Clarita, CA",35.75,67.86
"Oceanside, CA",23.42,67.66
"Glendale, CA",37.08,67.64
"Anaheim, CA",27,67.1
"Cape Coral, FL",110.08,66.96
"Pembroke Pines, FL",124.25,66.8
"Austin, TX",67.75,66.54
"Gilbert, AZ",17.75,66.37
"San Diego, CA",22.75,66.34
"Chula Vista, CA",19.75,66.21
"Garden Grove, CA",42.58,66.19
"Grand Prairie, TX",73.25,65.89
"Charleston, SC",102.75,65.86
"Cedar Rapids, IA",73.33,65.64
"Minneapolis, MN",61.5,65.44
"Raleigh, NC",95.17,65.2
"Aurora, CO",33.92,64.92
"Chandler, AZ",17.67,64.92
"Des Moines, IA",69.92,64.88
"Irving, TX",73.92,64.8
"Columbia, MD",91.42,64.58
"Oxnard, CA",27,64.54
"Peoria, AZ",16.92,64.49
"Oakland, CA",77.42,64.27
"St. Paul, MN",62.92,64.14
"Fort Lauderdale, FL",126.75,63.96
"Yonkers, NY",97.58,63.96
"Garland, TX",80.75,63.8
"Tempe, AZ",18.25,63.7
"Boise, ID",27.25,63.62
"Durham, NC",95.42,63.38
"Las Cruces, NM",19.33,63.01
"Aurora, IL",77.25,62.98
"Charlotte, NC",95.33,62.88
"Omaha, NE",64,62.81
"Boston, MA",93.33,62.71
"Rancho Cucamonga, CA",34.67,62.7
"Santa Ana, CA",25.17,62.65
"Denver, CO",33.67,62.6
"Seattle, WA",82.17,62.54
"Honolulu, HI",77.33,62.47
"Port St. Lucie, FL",110.67,62.21
"Nashua, NH",90.08,62.2
"Rapid City, SD",37.58,62.04
"Fort Worth, TX",69.92,61.97
"Arlington, TX",73.58,61.95
"Long Beach, CA",69.75,61.92
"Portland, ME",22.75,61.88
"Colorado Springs, CO",34.5,61.65
"Washington, DC",85.83,61.37
"Grand Rapids, MI",73.75,61.02
"Nampa, ID",22.08,60.97
"El Paso, TX",18.17,60.97
"Mesa, AZ",12.58,60.93
"Salt Lake City, UT",37.25,60.84
"Manchester, NH",87.33,60.54
"Virginia Beach, VA",94.83,60.51
"Billings, MT",29.83,60.48
"Burlington, VT",69.92,60.46
"Miami, FL",105.58,60.41
"Dallas, TX",76,59.77
"Reno, NV",18.58,59.62
"Fontana, CA",32.92,59.49
"Brownsville, TX",57.25,59.43
"Los Angeles, CA",33.25,59.42
"Chesapeake, VA",96.92,59.39
"Ontario, CA",66.58,59.39
"Riverside, CA",133.42,59.34
"Tallahassee, FL",124.92,59.25
"Lewiston, ME",94.92,59.23
"New York, NY",95.17,59.09
"Moreno Valley, CA",28.5,58.93
"Missoula, MT",32,58.83
"Jersey City, NJ",96.17,58.61
"Portland, OR",88.5,58.48
"Atlanta, GA",108.17,58.32
"Orlando, FL",104.75,58.29
"Modesto, CA",25.33,58.17
"Hialeah, FL",116,58.16
"Vancouver, WA",83.25,58.15
"Pittsburgh, PA",79.83,58.14
"Tampa, FL",97.08,57.94
"West Valley City, UT",33.75,57.67
"Sacramento, CA",37.5,57.49
"Huntsville, AL",117.33,57.32
"Cheyenne, WY",31.75,57.03
"Dover, DE",89.58,56.91
"Henderson, NV",9.58,56.32
"Glendale, AZ",15.25,56.27
"Bridgeport, CT",95.25,56.2
"Nashville, TN",101.17,56.2
"South Burlington, VT",72.17,56.1
"Anchorage, AK",34.17,55.98
"Salem, OR",86.5,55.84
"San Antonio, TX",57.75,55.62
"Houston, TX",96.33,55.56
"Winston-Salem, NC",94.92,55.55
"Chicago, IL",76.08,55.29
"Tacoma, WA",86.83,54.59
"St. Petersburg, FL",103.5,54.56
"Fort Wayne, IN",76.5,54.32
"Amarillo, TX",40.92,54.23
"Lexington-Fayette, KY",96.5,54.14
"Phoenix, AZ",17.67,54.13
"Bakersfield, CA",13.92,54.07
"Laredo, TX",35.92,53.94
"Worcester, MA",97.67,53.9
"Tucson, AZ",25,53.82
"Columbia, SC",99,53.8
"Greensboro, NC",94.17,53.78
"Warwick, RI",98.5,53.65
"Richmond, VA",90.67,53.28
"Lubbock, TX",39.33,52.98
"Springfield, MO",90.58,52.83
"San Bernardino, CA",24.75,52.49
"Casper, WY",25.42,52.41
"Albuquerque, NM",18.25,52.05
"Corpus Christi, TX",66.42,51.98
"Chattanooga, TN",115.58,51.8
"Jacksonville, FL",105.25,51.7
"Newport News, VA",94,51.4
"Columbus, OH",78.92,51.31
"Knoxville, TN",106.17,51.13
"Rochester, NY",67.75,50.84
"Fresno, CA",22.67,50.82
"Spokane, WA",38.08,50.78
"Oklahoma City, OK",70.42,50.61
"Fort Smith, AR",95.58,50.55
"Fayetteville, NC",98.92,50.53
"Wichita, KS",65.42,50.43
"Norfolk, VA",93.42,50.24
"Providence, RI",99.42,50.22
"Stockton, CA",37.42,49.99
"New Haven, CT",94.42,49.72
"North Las Vegas, NV",8,49.63
"Buffalo, NY",81.17,49.37
"Juneau, AK",147.83,49.3
"Kansas City, MO",80.33,49.26
"Las Vegas, NV",8.5,48.96
"Indianapolis, IN",84.17,48.95
"Louisville, KY",93.58,48.35
"Milwaukee, WI",67.75,48.19
"New Orleans, LA",64.67,47.64
"Wilmington, DE",91.33,47.36
"Montgomery, AL",109.5,46.79
"Baltimore, MD",90.5,46.76
"Jackson, MS",108.92,46.64
"Baton Rouge, LA",126.5,46.62
"Philadelphia, PA",92.58,46.23
"Shreveport, LA",99.58,45.6
"Columbus, GA",100.92,45.24
"Cincinnati, OH",87.33,44.79
"Newark, NJ",99,44.15
"Tulsa, OK",82.33,44.14
"Akron, OH",79.25,43.54
"St. Louis, MO",79.67,43.44
"Memphis, TN",106.5,43.42
"Mobile, AL",132.17,42.15
"Little Rock, AR",105,42.15
"Augusta, GA",95.92,42.02
"Birmingham, AL",117.33,41.43
"Gulfport, MS",132.83,41.42
"Cleveland, OH",76.92,39.36
"Huntington, WV",90,39.09
"Toledo, OH",69.92,37.99
"Charleston, WV",92.08,36.21
"Detroit, MI",68.67,29.06
