City,Temperature,Happiness Score
"Fremont, CA",9.42,75.32
"Plano, TX",18.58,73.23
"San Jose, CA",14.67,73.2
"Irvine, CA",9.08,72.81
"Madison, WI",9,72.19
"Sioux Falls, SD",9.83,70.26
"Huntington Beach, CA",16.42,69.9
"Scottsdale, AZ",23,69.49
"Santa Rosa, CA",9.42,69.33
"Pearl City, HI",23.58,69.13
"Bismarck, ND",8.33,68.86
"Fargo, ND",6.42,68.41
"Lincoln, NE",12.5,68.33
"San Francisco, CA",5.92,68.3
"Overland Park, KS",14,68.23
"Santa Clarita, CA",18.25,67.86
"Oceanside, CA",16,67.66
"Glendale, CA",9.83,67.64
"Anaheim, CA",17.5,67.1
"Cape Coral, FL",22.42,66.96
"Pembroke Pines, FL",23.25,66.8
"Austin, TX",20.42,66.54
"Gilbert, AZ",22.92,66.37
"San Diego, CA",16.83,66.34
"Chula Vista, CA",16.5,66.21
"Garden Grove, CA",3.5,66.19
"Grand Prairie, TX",19.08,65.89
"Charleston, SC",17.92,65.86
"Cedar Rapids, IA",10.17,65.64
"Minneapolis, MN",8.17,65.44
"Raleigh, NC",15.33,65.2
"Aurora, CO",20.17,64.92
"Chandler, AZ",22.92,64.92
"Des Moines, IA",10.58,64.88
"Irving, TX",19,64.8
"Columbia, MD",12.42,64.58
"Oxnard, CA",14.92,64.54
"Peoria, AZ",22.83,64.49
"Oakland, CA",8.42,64.27
"St. Paul, MN",8.58,64.14
"Fort Lauderdale, FL",23.25,63.96
"Yonkers, NY",10.92,63.96
"Garland, TX",18.58,63.8
"Tempe, AZ",22.92,63.7
"Boise, ID",15.25,63.62
"Durham, NC",14.75,63.38
"Las Cruces, NM",23.83,63.01
"Aurora, IL",10,62.98
"Charlotte, NC",16.17,62.88
"Omaha, NE",11.67,62.81
"Boston, MA",9.33,62.71
"Rancho Cucamonga, CA",19.75,62.7
"Santa Ana, CA",16.83,62.65
"Denver, CO",20.25,62.6
"Seattle, WA",10.58,62.54
"Honolulu, HI",23.75,62.47
"Port St. Lucie, FL",22.42,62.21
"Nashua, NH",8.17,62.2
"Rapid City, SD",14.17,62.04
"Fort Worth, TX",19,61.97
"Arlington, TX",19.08,61.95
"Long Beach, CA",7.17,61.92
"Portland, ME",24.83,61.88
"Colorado Springs, CO",20.67,61.65
"Washington, DC",12.5,61.37
"Grand Rapids, MI",9.33,61.02
"Nampa, ID",15,60.97
"El Paso, TX",24.5,60.97
"Mesa, AZ",22.83,60.93
"Salt Lake City, UT",18.58,60.84
"Manchester, NH",8,60.54
"Virginia Beach, VA",14.67,60.51
"Billings, MT",14.33,60.48
"Burlington, VT",7.17,60.46
"Miami, FL",23.42,60.41
"Dallas, TX",18.92,59.77
"Reno, NV",18.58,59.62
"Fontana, CA",20.08,59.49
"Brownsville, TX",22.5,59.43
"Los Angeles, CA",18.17,59.42
"Chesapeake, VA",14.75,59.39
"Ontario, CA",1.33,59.39
"Riverside, CA",8.83,59.34
"Tallahassee, FL",19.17,59.25
"Lewiston, ME",7.17,59.23
"New York, NY",11.58,59.09
"Moreno Valley, CA",19.83,58.93
"Missoula, MT",12.75,58.83
"Jersey City, NJ",11.42,58.61
"Portland, OR",11.17,58.48
"Atlanta, GA",17,58.32
"Orlando, FL",21.33,58.29
"Modesto, CA",15.92,58.17
"Hialeah, FL",23.42,58.16
"Vancouver, WA",10.92,58.15
"Pittsburgh, PA",11.42,58.14
"Tampa, FL",21.58,57.94
"West Valley City, UT",18.67,57.67
"Sacramento, CA",15.25,57.49
"Huntsville, AL",15.75,57.32
"Cheyenne, WY",19,57.03
"Dover, DE",11.92,56.91
"Henderson, NV",22.83,56.32
"Glendale, AZ",22.83,56.27
"Bridgeport, CT",9.92,56.2
"Nashville, TN",14.5,56.2
"South Burlington, VT",7,56.1
"Anchorage, AK",1.92,55.98
"Salem, OR",11,55.84
"San Antonio, TX",21.33,55.62
"Houston, TX",19.83,55.56
"Winston-Salem, NC",15.58,55.55
"Chicago, IL",10.58,55.29
"Tacoma, WA",9.92,54.59
"St. Petersburg, FL",21.58,54.56
"Fort Wayne, IN",10.83,54.32
"Amarillo, TX",20.5,54.23
"Lexington-Fayette, KY",13.83,54.14
"Phoenix, AZ",22.92,54.13
"Bakersfield, CA",18.58,54.07
"Laredo, TX",23.58,53.94
"Worcester, MA",8.92,53.9
"Tucson, AZ",24.83,53.82
"Columbia, SC",16.83,53.8
"Greensboro, NC",15.42,53.78
"Warwick, RI",9.67,53.65
"Richmond, VA",13.5,53.28
"Lubbock, TX",21.17,52.98
"Springfield, MO",14.92,52.83
"San Bernardino, CA",19.42,52.49
"Casper, WY",17.42,52.41
"Albuquerque, NM",22.83,52.05
"Corpus Christi, TX",21.42,51.98
"Chattanooga, TN",15.58,51.8
"Jacksonville, FL",19.83,51.7
"Newport News, VA",14.17,51.4
"Columbus, OH",11.75,51.31
"Knoxville, TN",15.25,51.13
"Rochester, NY",9.17,50.84
"Fresno, CA",16.75,50.82
"Spokane, WA",12,50.78
"Oklahoma City, OK",17.33,50.61
"Fort Smith, AR",16.08,50.55
"Fayetteville, NC",15.58,50.53
"Wichita, KS",15.42,50.43
"Norfolk, VA",14.83,50.24
"Providence, RI",9.67,50.22
"Stockton, CA",4.75,49.99
"New Haven, CT",9.83,49.72
"North Las Vegas, NV",21.83,49.63
"Buffalo, NY",9.17,49.37
"Juneau, AK",4.92,49.3
"Kansas City, MO",13.83,49.26
"Las Vegas, NV",22.25,48.96
"Indianapolis, IN",11.92,48.95
"Louisville, KY",13,48.35
"Milwaukee, WI",9.25,48.19
"New Orleans, LA",17.75,47.64
"Wilmington, DE",11.75,47.36
"Montgomery, AL",17.83,46.79
"Baltimore, MD",12.83,46.76
"Jackson, MS",17.75,46.64
"Baton Rouge, LA",18.75,46.62
"Philadelphia, PA",11.92,46.23
"Shreveport, LA",17.83,45.6
"Columbus, GA",17.92,45.24
"Cincinnati, OH",12.5,44.79
"Newark, NJ",11.25,44.15
"Tulsa, OK",15.75,44.14
"Akron, OH",10.92,43.54
"St. Louis, MO",13.42,43.44
"Memphis, TN",15.58,43.42
"Mobile, AL",18.83,42.15
"Little Rock, AR",16.33,42.15
"Augusta, GA",16.83,42.02
"Birmingham, AL",17,41.43
"Gulfport, MS",19.08,41.42
"Cleveland, OH",10.5,39.36
"Huntington, WV",12.83,39.09
"Toledo, OH",10.42,37.99
"Charleston, WV",13.08,36.21
"Detroit, MI",10.25,29.06
